invoice_id,supplier_id,department_id,invoice_date,invoice_amount,currency,payment_terms,invoice_type,submission_hour,image_path,supplier_country,supplier_age_days,supplier_risk_score,blacklisted_flag,avg_invoice_amount,is_fraud,fraud_type,fraud_tags,explanations,supplier_invoice_count_30d,supplier_avg_amount_90d,invoice_amount_zscore,duplicate_invoice_flag,split_invoice_flag,late_night_submission_flag,region,annual_budget,ocr_total_extracted,image_tamper_flag
INV_0261632,dc461b34-c7ea-419b-9e6c-f36b9edd2182,DPT_002,2023-11-16,4583.18,ZAR,NET60,SERVICES,8,,MZ,4938,0.242,0,3806.79,0,NONE,,"{""reason"": ""NONE""}",18.0,5168.265609756098,-0.33834375606325057,0,0,0,Nevada,14914645.502737343,,
INV_0111685,0ff1c51f-915c-431b-9786-7b1213281726,DPT_044,2023-08-15,4969.07,ZAR,NET30,SERVICES,12,,KE,3757,0.107,0,5044.11,0,NONE,,"{""reason"": ""NONE""}",10.0,7438.290357142856,-0.29455297469745934,0,0,0,Tennessee,292357118.7866788,,
INV_0271605,66124ab4-f9b2-4e6e-986a-346adc5be7d1,DPT_011,2023-08-30,948.13,ZAR,NET30,GOODS,16,,AR,3020,0.581,0,1667.61,0,NONE,,"{""reason"": ""NONE""}",11.0,1853.678787878788,-0.7508490809063915,0,0,0,Michigan,446491326.2456061,,
INV_0088641,c4c7aab4-ca20-408d-bb6c-7129cd638ba8,DPT_039,2023-04-23,614.1,ZAR,NET30,GOODS,13,,AR,4473,0.508,0,1401.16,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",14.0,1561.924054054054,-0.788754791600152,0,1,0,Louisiana,211828985.9007984,,
INV_0262963,0a2c827e-9832-4856-9434-0a033f07f814,DPT_032,2023-07-29,1737.21,ZAR,NET90,SERVICES,6,,BI,4857,0.216,0,1471.52,0,NONE,,"{""reason"": ""NONE""}",10.0,1472.738275862069,-0.6613043148846791,0,0,0,Arkansas,30056782.33772621,,
INV_0136010,fc3b0de5-9812-42ac-9683-ede017d5b563,DPT_023,2023-06-09,7677.16,ZAR,NET30,GOODS,17,,AG,4612,0.606,0,8042.59,0,NONE,,"{""reason"": ""NONE""}",13.0,8890.9115,0.01276096738159362,0,0,0,Arkansas,471719619.69151163,,
INV_0268541,1d4a3d81-b3a7-40e0-8b08-587d1963c26d,DPT_024,2023-05-08,4738.43,ZAR,NET30,GOODS,12,,BD,1615,0.04,0,7973.79,0,NONE,,"{""reason"": ""NONE""}",15.0,9867.586511627906,-0.32072599243361755,0,0,0,Rhode Island,498951463.41568965,,
INV_0138258,48b763d5-e519-4d7e-84d6-7c4ff0df1684,DPT_031,2023-05-14,23582.8,ZAR,NET30,GOODS,23,,TV,4300,0.793,0,20132.15,0,NONE,,"{""reason"": ""NONE""}",12.0,26743.935,1.817732341926113,0,0,0,Arkansas,277767319.84191287,,
INV_0185466,1edf3bfa-d12e-4eb5-97f4-79b5b212a6ee,DPT_006,2023-03-13,5790.12,ZAR,NET60,GOODS,23,,ZW,2342,0.308,0,12817.62,1,SPLIT,SPLIT,"{""rules"": [""SPLIT""]}",15.0,14499.130384615386,-0.20138025438757065,0,1,0,Texas,377137174.5502147,,
INV_0271996,7a36e788-f71f-49a6-add4-9c966744cb9e,DPT_041,2023-10-30,7997.84,ZAR,NET90,GOODS,1,,AT,616,0.359,0,3551.22,0,NONE,,"{""reason"": ""NONE""}",11.0,4274.851851851852,0.04915172062314423,0,0,1,Connecticut,51190351.867643066,,
INV_0164195,eeb19ad2-01a1-4b0f-a68b-84b63ec0a285,DPT_047,2023-06-18,9605.7,ZAR,NET30,SERVICES,1,,KZ,4785,0.121,0,12938.2,0,NONE,,"{""reason"": ""NONE""}",19.0,15127.609772727274,0.23161160744789017,0,0,1,Vermont,426130646.54993266,,
INV_0086916,3d4574eb-f465-4a21-8b35-097ae5dd98f1,DPT_046,2023-10-11,17165.87,ZAR,NET30,SERVICES,1,,BW,88,0.377,1,9461.63,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",15.0,11344.033823529413,1.0895393888317413,0,0,1,Mississippi,271866289.7393795,,
INV_0186919,d7c4caed-47c4-4c51-8f9a-5f984d950273,DPT_020,2023-12-02,10792.31,ZAR,NET30,GOODS,8,data/v1/20251214_172643/images/INV_0186919.png,SZ,3909,0.294,1,5990.59,1,GHOST_SUPPLIER,GHOST_SUPPLIER,"{""rules"": [""GHOST_SUPPLIER""]}",10.0,8386.905555555555,0.3662680615577701,0,0,0,New Jersey,245316830.24895635,26473.42,1.0
INV_0077168,71b65ca1-7587-4920-942e-3df03c28f5dc,DPT_029,2023-01-10,15510.73,ZAR,NET30,GOODS,6,,CV,3374,0.111,0,6356.28,0,NONE,,"{""reason"": ""NONE""}",4.0,7694.5075,0.9017141695470338,0,0,0,Hawaii,174212213.28368965,,
INV_0065381,a4bbf962-606e-4e1c-8f15-84494f40c22f,DPT_018,2023-02-28,796.31,ZAR,NET30,SERVICES,20,,IQ,138,0.389,0,594.4,0,NONE,,"{""reason"": ""NONE""}",11.0,735.9461538461538,-0.7680776082767675,0,0,0,California,419911365.2428973,,
